Location
"`Abasan al Kabirah, Gaza Strip"
"Albergaria-a-Velha, Portugal"
"Alberique, Spain"
"Alberobello, Italy"
"Albert Lea, United States"
"Albert, France"
"Albertirsa, Hungary"
"Alberton, South Africa"
"Albertville, France"
"Albertville, United States"
"Albi, France"
"Albignasego, Italy"
"Albina, Suriname"
"Albinea, Italy"
"Albino, Italy"
"Alblasserdam, Netherlands"
"Albolote, Spain"
"Alboraya, Spain"
"Albox, Spain"
"Albstadt, Germany"
"Albu Kamal, Syria"
"Albuera, Philippines"
"Albufeira, Portugal"
"Albuquerque, United States"
"Alburquerque, Philippines"
"Albury, Australia"
"Alcacer do Sal, Portugal"
"Alcala de Guadaira, Spain"
"Alcala de Henares, Spain"
"Alcala la Real, Spain"
"Alcala, Colombia"
"Alcala, Philippines"
"Alcala, Philippines"
"Alcalde Diaz, Panama"
"Alcamo, Italy"
"Alcanena, Portugal"
"Alcaniz, Spain"
"Alcantara, Brazil"
"Alcantara, Philippines"
"Alcantara, Philippines"
"Alcantaras, Brazil"
"Alcantarilla, Spain"
"Alcarraz, Spain"
"Alcaudete, Spain"
"Alcazar de San Juan, Spain"
"Alcira, Spain"
"Alcoa, United States"
"Alcobaca, Brazil"
"Alcobaca, Portugal"
"Alcobendas, Spain"
"Alcochete, Portugal"
"Alcora, Spain"
"Alcorcon, Spain"
"Alcorta, Argentina"
"Alcoy, Philippines"
"Alcoy, Spain"
"Alcudia, Spain"
"Aldama, Mexico"
"Aldama, Mexico"
"Aldan, Russia"
"Aldaya, Spain"
"Aldeia de Paio Pires, Portugal"
"Aldeias Altas, Brazil"
"Alden, United States"
"Aldenham, United Kingdom"
"Aldenhoven, Germany"
"Aldershot, United Kingdom"
"Alderwood Manor, United States"
"Aldine, United States"
"Aldo Bonzi, Argentina"
"Aldoar, Portugal"
"Aldridge, United Kingdom"
"Alebtong, Uganda"
"Aleg, Mauritania"
"Alegre, Brazil"
"Alegrete, Brazil"
"Alegria, El Salvador"
"Alegria, Philippines"
"Alegria, Philippines"
"Alejandro Korn, Argentina"
"Aleksandrov Gay, Russia"
"Aleksandrov, Russia"
"Aleksandrovac, Serbia"
"Aleksandrovka, Kyrgyzstan"
"Aleksandrovsk, Russia"
"Aleksandrovsk-Sakhalinskiy, Russia"
"Aleksandrow Kujawski, Poland"
"Aleksandrow Lodzki, Poland"
"Alekseyevka, Russia"
"Aleksin, Russia"
"Aleksinac, Serbia"
"Alella, Spain"
"Alem Paraiba, Brazil"
"Alencon, France"
"Alengad, India"
"Alenquer, Brazil"
"Alenquer, Portugal"
"Aleppo, Syria"
"Alerce, Chile"
"Ales, France"
"Alesd, Romania"
"Aleshtar, Iran"
"Alessandria, Italy"
"Alesund, Norway"
"Alewah, India"
"Alexander Bay, South Africa"
"Alexander City, United States"
"Alexandreia, Greece"
"Alexandria, Brazil"
"Alexandria, Egypt"
"Alexandria, Romania"
"Alexandria, South Africa"
"Alexandria, United States"
"Alexandria, United States"
"Alexandria, United States"
"Alexandria, United States"
"Alexandroupoli, Greece"
"Alexania, Brazil"
"Aleysk, Russia"
"Alfafar, Spain"
"Alfajayucan, Mexico"
"Alfaro, Spain"
"Alfeld, Germany"
"Alfena, Portugal"
"Alfenas, Brazil"
"Alfonsine, Italy"
"Alfonso Castaneda, Philippines"
"Alfonso, Philippines"
"Alfortville, France"
"Alfred and Plantagenet, Canada"
"Alfredo Chaves, Brazil"
"Alfredo Wagner, Brazil"
"Alfreton, United Kingdom"
"Alfter, Germany"
"Alga, Kazakhstan"
"Algarrobo, Chile"
"Algarrobo, Colombia"
"Algarrobo, Colombia"
"Algeciras, Colombia"
"Algeciras, Spain"
"Algemesi, Spain"
"Algete, Spain"
"Alghero, Italy"
"Algiers, Algeria"
"Alginet, Spain"
"Algonquin, United States"
"Alguazas, Spain"
"Algun, India"
"Alhama de Murcia, Spain"
"Alhambra, United States"
"Alhandra, Brazil"
"Alhaurin de la Torre, Spain"
"Alhaurin el Grande, Spain"
"Alhendin, Spain"
"'Ali Ben Sliman, Morocco"
"Ali Sabieh, Djibouti"
"Aliabad, Azerbaijan"
"Aliabad, Azerbaijan"
"Aliaga, Philippines"
"Aliaga, Turkey"
"Alianca, Brazil"
"Alibunar, Serbia"
"Alicante, Spain"
"Alice Springs, Australia"
"Alice, South Africa"
"Alice, United States"
"Alicia, Philippines"
"Alicia, Philippines"
"Alicia, Philippines"
"Aliganj, India"
"Aligarh, India"
"Aligudarz, Iran"
"Alijo, Portugal"
"Alimodian, Philippines"
"Alimos, Greece"
"Alindao, Central African Republic"
"Alingsas, Sweden"
"Alipur Duar, India"
"Alipur, India"
"Aliquippa, United States"
"Aliso Viejo, United States"
"Alitagtag, Philippines"
"Aliwal North, South Africa"
"Aliyabad, India"
"Aljaraque, Spain"
"Aljustrel, Portugal"
"Alken, Belgium"
"Alkhan-Kala, Russia"
"Alkmaar, Netherlands"
"Allacapan, Philippines"
"Allada, Benin"
"Allagadda, India"
"Allahabad, Pakistan"
"Allahdurg, India"
"Allahpur, India"
"Allanmyo, Burma"
"Allanridge, South Africa"
"Allapalli, India"
"Allauch, France"
"Allen Park, United States"
"Allen, Argentina"
"Allen, Philippines"
"Allen, United States"
"Allendale, United States"
"Allende, Mexico"
"Allentown, United States"
"Alleppey, India"
"Alleroy, Russia"
"Allestree, United Kingdom"
"Alliance, United States"
"Allinagaram, India"
"Allison Park, United States"
"Alliston, Canada"
"Alloa, United Kingdom"
"Allonnes, France"
"Allouez, United States"
"Allschwil, Switzerland"
"Allur, India"
"Alluru, India"
"Alma, Canada"
"Alma, United States"
"Almada, Portugal"
"Almagro, Philippines"
"Almagro, Spain"
"Almaguer, Colombia"
"Almansa, Spain"
"Almargem, Portugal"
"Almasi, Tajikistan"
"Almaty, Kazakhstan"
"Almazora, Spain"
"Almeirim, Brazil"
"Almeirim, Portugal"
"Almel, India"
"Almelo, Netherlands"
"Almenara, Brazil"
"Almendralejo, Spain"
"Almere, Netherlands"
"Almeria, Philippines"
"Almeria, Spain"
"Almetyevsk, Russia"
"Almhult, Sweden"
"Almirante Tamandare, Brazil"
"Almirante, Panama"
"Almolonga, Guatemala"
"Almoloya de Alquisiras, Mexico"
"Almoloya del Rio, Mexico"
"Almoloya, Mexico"
"Almondbury, United Kingdom"
"Almonte, Spain"
"Almora, India"
"Almoradi, Spain"
"Almunecar, Spain"
"Almusafes, Spain"
"Alnavar, India"
"Alnif, Morocco"
"Alnwick, United Kingdom"
"Alofi, Niue"
"Aloguinsan, Philippines"
"Aloha, United States"
"Alor Setar, Malaysia"
"Aloran, Philippines"
"Alotau, Papua New Guinea"
"Alotenango, Guatemala"
"Alovera, Spain"
"Alpedrete, Spain"
"Alpen, Germany"
"Alpena, United States"
"Alpharetta, United States"
"Alphen aan den Rijn, Netherlands"
"Alpignano, Italy"
"Alpine, United States"
"Alpine, United States"
"Alpinopolis, Brazil"
"Alpu, Turkey"
"Alquizar, Cuba"
"Alsager, United Kingdom"
"Alsbach-Hahnlein, Germany"
"Alsdorf, Germany"
"Alsfeld, Germany"
"Alsip, United States"
"Alta Floresta D'Oeste, Brazil"
"Alta Floresta, Brazil"
"Alta Gracia, Argentina"
"Alta, India"
"Alta, Norway"
"Alta, Sweden"
"Altadena, United States"
"Altagracia de Orituco, Venezuela"
"Altagracia, Nicaragua"
"Altamira, Brazil"
"Altamira, Dominican Republic"
"Altamira, Mexico"
"Altamirano, Mexico"
"Altamont, United States"
"Altamonte Springs, United States"
"Altamura, Italy"
"Altata, Mexico"
"Altavas, Philippines"
"Altavilla Milicia, Italy"
"Altavilla Vicentina, Italy"
"Altay, China"
"Altay, Mongolia"
"Altdorf, Germany"
"Altdorf, Switzerland"
"Altea, Spain"
"Altena, Germany"
"Altenbeken, Germany"
"Altenberge, Germany"
"Altenburg, Germany"
"Altenholz, Germany"
"Altenstadt, Germany"
"Altensteig, Germany"
"Altepexi, Mexico"
"Alterosa, Brazil"
"Altindag, Turkey"
"Altinekin, Turkey"
"Altinho, Brazil"
"Altinopolis, Brazil"
"Altinova, Turkey"
"Altinozu, Turkey"
"Altlandsberg, Germany"
"Altmunster, Austria"
"Alto Alegre dos Parecis, Brazil"
"Alto Araguaia, Brazil"
"Alto do Rodrigues, Brazil"
"Alto Garcas, Brazil"
"Alto Hospicio, Chile"
"Alto Longa, Brazil"
"Alto Parana, Brazil"
"Alto Parnaiba, Brazil"
"Alto Piquiri, Brazil"
"Alto Rio Doce, Brazil"
"Alto Rio Senguer, Argentina"
"Alto Santo, Brazil"
"Alto-Cuilo, Angola"
"Altofonte, Italy"
"Alton, United Kingdom"
"Alton, United States"
"Alton, United States"
"Altonia, Brazil"
"Altoona, United States"
"Altoona, United States"
"Altoona, United States"
"Altopascio, Italy"
"Altos del Rosario, Colombia"
"Altos, Brazil"
"Altos, Paraguay"
"Altotting, Germany"
"Altrincham, United Kingdom"
"Altstatten, Switzerland"
"Altun Kawbri, Iraq"
"Altus, United States"
"Altusried, Germany"
"Alubijid, Philippines"
"Alukkuli, India"
"Aluksne, Latvia"
"Alum Rock, United States"
"Alur, India"
"Alushta, Ukraine"
"Alvand, Iran"
"Alvarado, Colombia"
"Alvarado, Mexico"
"Alvaraes, Brazil"
"Alvares Machado, Brazil"
"Alvin, United States"
"Alvinopolis, Brazil"
"Alvorada do Sul, Brazil"
"Alvorada D'Oeste, Brazil"
"Alvorada, Brazil"
"Alwa Tirunagari, India"
"Alwal, India"
"Alwar, India"
"Alwarkurichchi, India"
"Alwaye, India"
"Alytus, Lithuania"
"Alza, Spain"
"Alzano Lombardo, Italy"
"Alzenau in Unterfranken, Germany"
"Alzey, Germany"
"Ama, Japan"
"Amacuzac, Mexico"
"Amadeo, Philippines"
"Amadora, Portugal"
"Amaga, Colombia"
"Amagasaki, Japan"
"Amaha, India"
"Amahai, Indonesia"
"Amakusa, Japan"
"Amal, Sweden"
"Amala, India"
"Amalapuram, India"
"Amalfi, Colombia"
"Amaliada, Greece"
"Amalner, India"
"Amalou, Algeria"
"Amambai, Brazil"
"Amami, Japan"
"Amancio, Cuba"
"Amangal, India"
"Amanganj, India"
"Amantea, Italy"
"Amapa, Brazil"
"Amaraji, Brazil"
"Amarante do Maranhao, Brazil"
"Amarante, Brazil"
"Amarante, Portugal"
"Amarapura, Burma"
"Amarapuuram, India"
"Amaravati, India"
"Amaravati, India"
"Amarchinta, India"
"Amares, Portugal"
"Amargosa, Brazil"
"Amari, India"
"Amarillo, United States"
"Amarnath, India"
"Amarpatan, India"
"Amarpur, India"
"Amarpur, India"
"Amarpura, India"
"Amarwa Khurd, India"
"Amarwara, India"
"Amasya, Turkey"
"Amatan, Mexico"
"Amatenango de la Frontera, Mexico"
"Amatenango del Valle, Mexico"
"Amatepec, Mexico"
"Amatitan, Mexico"
"Amatitlan, Guatemala"
"Amatlan de los Reyes, Mexico"
"Amatura, Brazil"
"Amau, Papua New Guinea"
"Amauna, India"
"Amawom, Nigeria"
"Amay, Belgium"
"Amayan, India"
"Amba Icharua, India"
"Ambaguio, Philippines"
"Ambahatrazo, Madagascar"
"Ambahikily, Madagascar"
"Ambahita, Madagascar"
"Ambahive, Madagascar"
"Ambahoabe, Madagascar"
"Ambahy, Madagascar"
"Ambajogai, India"
"Ambakireny, Madagascar"
"Ambala, India"
"Ambala, India"
"Ambalabe, Madagascar"
"Ambalajia, Madagascar"
"Ambalakindresy, Madagascar"
"Ambalakirajy, Madagascar"
"Ambalamanasy II, Madagascar"
"Ambalanirana, Madagascar"
"Ambalanjanakomby, Madagascar"
"Ambalanur, India"
"Ambalaroka, Madagascar"
"Ambalaromba, Madagascar"
"Ambalarondra, Madagascar"
"Ambalatany, Madagascar"
"Ambalavao, Madagascar"
"Ambalavao, Madagascar"
"Ambalavato, Madagascar"
"Ambalavayal, India"
"Ambalavero, Madagascar"
"Ambaliha, Madagascar"
"Ambam, Cameroon"
"Ambanja, Madagascar"
"Ambano, Madagascar"
"Ambara, India"
"Ambarakaraka, Madagascar"
"Ambararata, Madagascar"
"Ambararatabe, Madagascar"
"Ambarawa, Indonesia"
"Ambarchik, Russia"
"Ambares-et-Lagrave, France"
"Ambarimaninga, Madagascar"
"Ambariokorano, Madagascar"
"Ambasamudram, India"
"Ambato, Ecuador"
"Ambato, Madagascar"
"Ambatofinandrahana, Madagascar"
"Ambatofisaka II, Madagascar"
"Ambatofotsy, Madagascar"
"Ambatoharanana, Madagascar"
"Ambatoharanana, Madagascar"
"Ambatolahy, Madagascar"
"Ambatolahy, Madagascar"
"Ambatolahy, Madagascar"
"Ambatolampy, Madagascar"
"Ambatolampy, Madagascar"
"Ambatolava, Madagascar"
"Ambatomainty, Madagascar"
"Ambatomainty, Madagascar"
"Ambatomanjaka, Madagascar"
"Ambatomanoina, Madagascar"
"Ambatomarina, Madagascar"
"Ambatomasina, Madagascar"
"Ambatomborona, Madagascar"
"Ambatomena, Madagascar"
"Ambatomiady, Madagascar"
"Ambatomifanongoa, Madagascar"
"Ambatomirahavavy, Madagascar"
"Ambatomivary, Madagascar"
"Ambatondrakalavao, Madagascar"
"Ambatondrazaka, Madagascar"
"Ambatoria, Madagascar"
"Ambatosia, Madagascar"
"Ambatosoratra, Madagascar"
"Ambatotsipihina, Madagascar"
"Ambattur, India"
"Ambatturai, India"
"Ambazoa, Madagascar"
"Amberg, Germany"
"Amberieu-en-Bugey, France"
"Amberomanga, Madagascar"
"Ambesisika, Madagascar"
"Ambhua, India"
"Ambikapur, India"
"Ambila, Madagascar"
"Ambilobe, Madagascar"
"Ambinanin' Andravory, Madagascar"
"Ambinanindovoka, Madagascar"
"Ambinanindrano, Madagascar"
"Ambinanindrano, Madagascar"
"Ambinanin'i Sakaleona, Madagascar"
"Ambinanintromby, Madagascar"
"Ambinanisakana, Madagascar"
"Ambinanitelo, Madagascar"
"Ambinanynony, Madagascar"
"Ambiula, Angola"
"Amblecote, United Kingdom"
"Amboaboa, Madagascar"
"Amboahangibe, Madagascar"
"Amboanana, Madagascar"
"Amboanjo, Madagascar"
"Amboasary, Madagascar"
"Amboasary-Gara, Madagascar"
"Amboavory, Madagascar"
"Ambodiampana, Madagascar"
"Ambodiampana, Madagascar"
"Ambodiangezoka, Madagascar"
"Ambodibonara, Madagascar"
"Ambodihara, Madagascar"
"Ambodilazana, Madagascar"
"Ambodimadiro, Madagascar"
"Ambodimahabibo, Madagascar"
"Ambodimanary, Madagascar"
"Ambodimandresy, Madagascar"
"Ambodimanga II, Madagascar"
"Ambodimangavolo, Madagascar"
"Ambodimotso Atsimo, Madagascar"
"Ambodinonoka, Madagascar"
"Ambodiriana, Madagascar"
"Ambodiriana, Madagascar"
"Ambodisakoana, Madagascar"
"Ambodisikidy, Madagascar"
"Ambodivoanio, Madagascar"
"Ambodivoara, Madagascar"
"Ambohibary, Madagascar"
"Ambohibary, Madagascar"
"Ambohibe, Madagascar"
"Ambohidanerana, Madagascar"
"Ambohidranandriana, Madagascar"
"Ambohidrapeto, Madagascar"
"Ambohidronono, Madagascar"
"Ambohijanahary, Madagascar"
"Ambohijanaka, Madagascar"
"Ambohimahamasina, Madagascar"
"Ambohimahasoa, Madagascar"
"Ambohimahavelona, Madagascar"
"Ambohimahazo, Madagascar"
"Ambohimalaza, Madagascar"
"Ambohimanambola, Madagascar"
"Ambohimanambola, Madagascar"
"Ambohimandroso, Madagascar"
"Ambohimandroso, Madagascar"
"Ambohimanga Atsimo, Madagascar"
"Ambohimanga, Madagascar"
"Ambohimangakely, Madagascar"
"Ambohimasina, Madagascar"
"Ambohimiadana, Madagascar"
"Ambohimiarivo, Madagascar"
"Ambohimiera, Madagascar"
"Ambohimierambe-Andranofito, Madagascar"
"Ambohimitombo, Madagascar"
"Ambohinamboarina, Madagascar"
"Ambohinihaonana, Madagascar"
"Ambohipandrano, Madagascar"
"Ambohipihaonana, Madagascar"
"Ambohitoaka, Madagascar"
"Ambohitompoina, Madagascar"
"Ambohitralanana, Madagascar"
"Ambohitrambo, Madagascar"
"Ambohitrarivo, Madagascar"
"Ambohitrimanjaka, Madagascar"
"Ambohitrolomahitsy, Madagascar"
"Ambohitromby, Madagascar"
"Ambohitromby, Madagascar"
"Ambohitsilaozana, Madagascar"
"Ambohitsimanova, Madagascar"
"Amboise, France"
"Ambolidibe Atsinanana, Madagascar"
"Ambolomadinika, Madagascar"
"Ambolomoty, Madagascar"
"Ambolotarakely, Madagascar"
"Ambon, Indonesia"
"Ambondro, Madagascar"
"Ambondromisotra, Madagascar"
"Ambondrona, Madagascar"
"Ambongamarina, Madagascar"
"Ambongo, Madagascar"
"Amborompotsy, Madagascar"
"Amborompotsy, Madagascar"
"Amboronabo, Madagascar"
"Amborondra, Madagascar"
"Ambositra, Madagascar"
"Ambotaka, Madagascar"
"Ambovombe Afovoany, Madagascar"
"Ambovombe, Madagascar"
"Ambovonomby, Madagascar"
"Ambriz, Angola"
"Ambrolauri, Georgia"
"Amdel, Morocco"
"Amderma, Russia"
"Amdjarass, Chad"
"Ameca, Mexico"
"Amecameca de Juarez, Mexico"
"Amelia, Italy"
"Amelia, United States"
"America Dourada, Brazil"
"American Canyon, United States"
"American Fork, United States"
"Americana, Brazil"
"Americo Brasiliense, Brazil"
"Americus, United States"
"Amersfoort, Netherlands"
"Amersfoort, South Africa"
"Amersham, United Kingdom"
"Ames, Spain"
"Ames, United States"
"Amesbury, United Kingdom"
"Amesbury, United States"
"Ameskroud, Morocco"
"Amfilochia, Greece"
"Amgachia, India"
"Amha, India"
"Amherst, Canada"
"Amherst, United States"
"Amherst, United States"
"Amherst, United States"
"Amherstburg, Canada"
"Ami, Japan"
"Amiawar, India"
"Amiens, France"
"Amilly, France"
"Amingaon, India"
"Amingarh, India"
"Aminpur, India"
"Amioun, Lebanon"
"Amir Kola, Iran"
"Amircan, Azerbaijan"
"Amirli, Iraq"
"Amity, United States"
"Amityville, United States"
"Amizmiz, Morocco"
"Amjhar, India"
"Amjhera, India"
"Amla, India"
"Amlash, Iran"
"Amman, Jordan"
"Ammanabrolu, India"
"Ammanford, United Kingdom"
"Ammapettai, India"
"Ammapettai, India"
"Ammavarikuppam, India"
"Ammi Moussa, Algeria"
"Ammon, United States"
"Ammur, India"
"Amnat Charoen, Thailand"
"Amneville, France"
"Amodei, India"
"Amol, Iran"
"Amolatar, Uganda"
"Amondara, Tajikistan"
"Amontada, Brazil"
"Amora, Portugal"
"Amorebieta, Spain"
"Amos, Canada"
"Amoucha, Algeria"
"Ampahana, Madagascar"
"Ampahimanga, Madagascar"
"Ampana, Indonesia"
"Ampanavoana, Madagascar"
"Ampanefena, Madagascar"
"Ampanety, Madagascar"
"Ampanihy, Madagascar"
"Ampanotokana, Madagascar"
"Amparafaravola, Madagascar"
"Amparihitsokatra, Madagascar"
"Amparihy, Madagascar"
"Amparo, Brazil"
"Ampary, Madagascar"
"Ampasimanjeva, Madagascar"
"Ampasimanolotra, Madagascar"
"Ampasimatera, Madagascar"
"Ampasimazava, Madagascar"
"Ampasimbe, Madagascar"
"Ampasimena, Madagascar"
"Ampasimpotsy-Gara, Madagascar"
"Ampasina-Maningory, Madagascar"
"Ampasinambo, Madagascar"
"Ampataka, Madagascar"
"Ampatuan, Philippines"
"Ampefy, Madagascar"
"Ampelokipoi, Greece"
"Ampere, Brazil"
"Ampitahana, Madagascar"
"Ampitasimo, Madagascar"
"Ampitatafika, Madagascar"
"Ampohibe, Madagascar"
"Ampondra, Madagascar"
"Amporoforo, Madagascar"
"Amposta, Spain"
"Ampthill, United Kingdom"
"Amrabad, India"
"Amravati, India"
"Amreli, India"
"Amriswil, Switzerland"
"Amritpur, Nepal"
"Amritsar, India"
"Amroha, India"
"Amsin, India"
"Amstelveen, Netherlands"
"Amsterdam, Netherlands"
"Amsterdam, United States"
"Amstetten, Austria"
"Amta, India"
"Amtala, India"
"Amtala, India"
"Amtali, Bangladesh"
"Amtar, Morocco"
"Am-Timan, Chad"
"Amudalapalle, India"
"Amudalavalasa, India"
"Amudat, Uganda"
"Amulung, Philippines"
"Amuntai, Indonesia"
"Amuria, Uganda"
"Amurrio, Spain"
"Amursk, Russia"
"Amuru, Uganda"
"Amvrosiivka, Ukraine"
"Amwa Majhar, India"
"An Cabhan, Ireland"
"An Chau, Vietnam"
"An Khe, Vietnam"
"An Nabk, Syria"
"An Najaf, Iraq"
"An Nasiriyah, Iraq"
"An Nayrab, Syria"
"An Nazlah, Egypt"
"An Nhon, Vietnam"
"An Nimas, Saudi Arabia"
"An Nu`maniyah, Iraq"
"An Nuhud, Sudan"
"An Phu, Vietnam"
"An Thanh B, Vietnam"
"An, Burma"
"Anaco, Venezuela"
"Anaconda, United States"
"Anacortes, United States"
"Anadia, Brazil"
"Anadia, Portugal"
"Anadyr, Russia"
"Anage, Brazil"
"Anagni, Italy"
"Anaheim, United States"
"Anahidrano, Madagascar"
"Anahuac, Mexico"
"Anahuac, Mexico"
"Anaikal, India"
"Anaiyur, India"
"Anajas, Brazil"
"Anajatuba, Brazil"
"Anakapalle, India"
"Anakaputtur, India"
"Analaiva, Madagascar"
"Analalava, Madagascar"
"Analamary, Madagascar"
"Analamisampy, Madagascar"
"Analamitsivalana, Madagascar"
"Analanampotsy, Madagascar"
"Analapatsy, Madagascar"
"Analaroa, Madagascar"
"Analavory, Madagascar"
"Analila, Madagascar"
"Anama, Brazil"
"Anamalais, India"
"Anamoros, El Salvador"
"Anamur, Turkey"
"Anan, Japan"
"Ananas, Brazil"
"Anand, India"
"Anandapuram, India"
"Anandnagar, India"
"Anandpur, India"
"Anandpur, India"
"Anandpur, India"
"Anan'evo, Kyrgyzstan"
"Ananindeua, Brazil"
"Ananipalle, India"
"Anantapalle, India"
"Anantapur, India"
"Anantarazupeta, India"
"Anantasagaram, India"
"Anantavur, India"
"Anantpur, India"
"Anao, Philippines"
"Anao-aon, Philippines"
"Anapa, Russia"
"Anapoima, Colombia"
"Anapolis, Brazil"
"Anapurus, Brazil"
"Anar, Iran"
"Anastacio, Brazil"
"Anatoli, Greece"
"Anatuya, Argentina"
"Anavatti, India"
"Anazzou, Morocco"
"Anchieta, Brazil"
"Anchorage, United States"
"Ancon, Panama"
"Ancona, Italy"
"Ancuabe, Mozambique"
"Ancud, Chile"
"Anda, China"
"Anda, Philippines"
"Anda, Philippines"
"Andacollo, Chile"
"Andahuaylas, Peru"
"Andaingo Gara, Madagascar"
"Andal, India"
"Andalatanosy, Madagascar"
"Andalgala, Argentina"
"Andalucia, Colombia"
"Andalusia, United States"
"Andamooka, Australia"
"Andanappettai, India"
"Andapa, Madagascar"
"Andapafito, Madagascar"
"Andarai, Brazil"
"Andasibe, Madagascar"
"Andasibe, Madagascar"
"Andemaka, Madagascar"
"Andenne, Belgium"
"Anderanboukan, Mali"
"Andergrove, Australia"
"Anderlecht, Belgium"
"Anderlues, Belgium"
"Andernach, Germany"
"Andernos-les-Bains, France"
"Anderson Creek, United States"
"Anderson, United States"
"Anderson, United States"
"Anderson, United States"
"Andes, Colombia"
"Andhana, India"
"Andhra Tharhi, India"
"Andicun, China"
"Andijon, Uzbekistan"
"Andijon, Uzbekistan"
"Andilamena, Madagascar"
"Andilana Avaratra, Madagascar"
"Andilanatoby, Madagascar"
"Andimeshk, Iran"
"Andingcun, China"
"Andipalaiyam, India"
"Andippatti, India"
"Andira, Brazil"
"Andirin, Turkey"
"Andiyappanur, India"
"Andkhoy, Afghanistan"
"Andoain, Spain"
"Andoany, Madagascar"
"Andoas, Peru"
"Andohajango, Madagascar"
"Andoharanofotsy, Madagascar"
"Andoharanomaitso, Madagascar"
"Andolofotsy, Madagascar"
"Andonabe Atsimo, Madagascar"
"Andonabe, Madagascar"
"Andondabe, Madagascar"
"Andong, Korea, South"
"Andorinha, Brazil"
"Andorra la Vella, Andorra"
"Andover, United Kingdom"
"Andover, United States"
"Andover, United States"
"Andover, United States"
"Andovoranto, Madagascar"
"Andradas, Brazil"
"Andradina, Brazil"
"Andrainjato, Madagascar"
"Andraitx, Spain"
"Andrakata, Madagascar"
"Andramy, Madagascar"
"Andranambolava, Madagascar"
"Andranofasika, Madagascar"
"Andranomamy, Madagascar"
"Andranomanelatra, Madagascar"
"Andranomavo, Madagascar"
"Andranomenatsa, Madagascar"
"Andranomeva, Madagascar"
"Andranopasy, Madagascar"
"Andranovao, Madagascar"
"Andranovelona, Madagascar"
"Andranovorivato, Madagascar"
"Andranovory, Madagascar"
"Andre Fernandes, Brazil"
"Andreba, Madagascar"
"Andrelandia, Brazil"
"Andrembesoa, Madagascar"
"Andresy, France"
"Andrews, United States"
"Andria, Italy"
"Andriba, Madagascar"
"Andribavontsona, Madagascar"
"Andrijevica, Montenegro"
"Androka, Madagascar"
"Androka, Madagascar"
"Androndrona Anava, Madagascar"
"Androrangavola, Madagascar"
"Androrangavola, Madagascar"
"Androy, Madagascar"
"Andrychow, Poland"
"Andujar, Spain"
"Andulo, Angola"
"Andurkonam, India"
"Aneho, Togo"
"Anekal, India"
"Anenecuilco, Mexico"
"Anenii Noi, Moldova"
"Anew, Turkmenistan"
"Ang Thong, Thailand"
"Angadanan, Philippines"
"Angadikkal Tekkekara, India"
"Angalakuduru Malepalle, India"
"Angalakurichchi, India"
"Angallu, India"
"Angamali, India"
"An'gang, Korea, South"
"Angara-Debou, Benin"
"Angarsk, Russia"
"Angat, Philippines"
"Angatuba, Brazil"
"Angel R. Cabada, Mexico"
"Angeles City, Philippines"
"Angelholm, Sweden"
"Angelim, Brazil"
"Angelopolis, Colombia"
"Angermunde, Germany"
"Angers, France"
"Anghad, India"
"Angical, Brazil"
"Angichettippalaiyam, India"
"Angicos, Brazil"
"Anglet, France"
"Angleton, United States"
"Angmering, United Kingdom"
"Angol, Chile"
"Angola, United States"
"Angono, Philippines"
"Angor, Uzbekistan"
"Angostura, Colombia"
"Angouleme, France"
"Angra do Heroismo, Portugal"
"Angra dos Reis, Brazil"
"Angren, Uzbekistan"
"Angri, Italy"
"Anguera, Brazil"
"Anguillara Sabazia, Italy"
"Angul, India"
"Anguo, China"
"Angus, Canada"
"Angwali, India"
"Aniche, France"
"Anicuns, Brazil"
"Anilao, Philippines"
"Anini-y, Philippines"
"Anisio de Abreu, Brazil"
"Aniskino, Russia"
"Anisoc, Equatorial Guinea"
"Aniva, Russia"
"Anivorano Avaratra, Madagascar"
"Anjad, India"
"Anjahabe, Madagascar"
"Anjahamana, Madagascar"
"Anjahamarina, Madagascar"
"Anjahambe, Madagascar"
"Anjanazana, Madagascar"
"Anjangaon, India"
"Anjangoveratra, Madagascar"
"Anjarkandi, India"
"Anjehalli, India"
"Anjiajia, Madagascar"
"Anjialava, Madagascar"
"Anjiamangirana I, Madagascar"
"Anjomachi, Japan"
"Anjoma-Ramartina, Madagascar"
"Anjozorobe, Madagascar"
"Anju, Korea, North"
"Anjukulippatti, India"
"Anjuna, India"
"Anjur, India"
"Ankadimanga, Madagascar"
"Ankadinandriana, Madagascar"
"Ankadindambo, Madagascar"
"Ankadinondry-Sakay, Madagascar"
"Ankafina Tsarafidy, Madagascar"
"Ankalgi, India"
"Ankang, China"
"Ankara, Turkey"
"Ankarabato, Madagascar"
"Ankaramena, Madagascar"
"Ankaramy, Madagascar"
"Ankaran, Slovenia"
"Ankarana-Miraihina, Madagascar"
"Ankaraobato, Madagascar"
"Ankarongana, Madagascar"
"Ankasakasabe, Madagascar"
"Ankatafa, Madagascar"
"Ankavandra, Madagascar"
"Ankazoabokely, Madagascar"
"Ankazomborona, Madagascar"
"Ankazomiriotra, Madagascar"
"Ankazondandy, Madagascar"
"Ankazotsifantatra, Madagascar"
"Ankeny, United States"
"Ankerana, Madagascar"
"Ankiabe-Salohy, Madagascar"
"Ankiliabo, Madagascar"
"Ankiliabo, Madagascar"
"Ankililoaka, Madagascar"
